Episode,Total Completion Time,Rescheduling Count
0,9740.260111006868,79.0
1,6547.261801636805,72.0
2,6850.301393773233,65.0
3,4877.209994788671,57.0
4,6401.9955886708385,69.0
5,10133.945593547916,68.0
6,5341.9938583434505,59.0
7,8274.01944380689,63.0
8,9536.408287243332,68.0
9,7435.503792916017,72.0
10,10155.089680701278,72.0
11,9019.962845155233,67.0
12,7649.39862012455,59.0
13,8498.57362207866,77.0
14,4678.599801372491,68.0
15,3051.773161844406,62.0
16,6836.911460326684,74.0
17,11747.159927665161,71.0
18,4502.352710530754,55.0
19,4669.935412719522,69.0
20,10117.198563422993,71.0
21,6346.316978522014,72.0
22,5667.013340103738,68.0
23,2218.6792857518253,61.0
24,11032.66832059731,82.0
25,9012.84997838789,73.0
26,7080.109874847428,70.0
27,10067.754601591036,66.0
28,6827.7570587755035,56.0
29,6246.112780355456,69.0
30,6633.646672693241,67.0
31,9664.310543842988,63.0
32,5043.726407908079,69.0
33,4867.132871891623,51.0
34,8355.733458965367,66.0
35,5319.284761423302,65.0
36,6005.434461469747,65.0
37,6740.005643474339,68.0
38,6359.167053743295,66.0
39,6922.588521998032,74.0
40,7609.955584401273,76.0
41,6556.716425188437,60.0
42,8967.607482032367,71.0
43,4785.588148640328,66.0
44,9009.188638992118,72.0
45,4764.020918772059,63.0
46,7785.575375422017,72.0
47,7207.649972073134,79.0
48,4715.238857570739,73.0
49,9359.628346122387,66.0
50,10219.88566070776,75.0
51,10150.366800559825,70.0
52,4341.639309049009,56.0
53,4145.435122704822,60.0
54,5597.630879135777,68.0
55,7715.268761332494,66.0
56,6979.401429700871,63.0
57,6486.011857281065,71.0
58,7849.656482184317,64.0
59,13357.548844745083,71.0
60,12948.403875127726,77.0
61,6157.044333346984,66.0
62,7570.2115676144895,67.0
63,7636.573759905163,71.0
64,11888.113732143665,78.0
65,5259.281384281001,65.0
66,12970.737664555516,70.0
67,21240.18672786512,65.0
68,10005.258559723525,71.0
69,6069.344762610748,73.0
70,9108.865276807326,72.0
71,6439.47803394013,67.0
72,2937.4474420645424,57.0
73,11047.055500786915,75.0
74,8929.317582210006,75.0
75,7474.037786445802,74.0
76,6576.610982720804,68.0
77,9072.836655842124,74.0
78,9674.908218107425,68.0
79,11294.249983758013,72.0
80,8425.629994466817,79.0
81,4235.272420210941,64.0
82,7875.104607322088,62.0
83,6968.946074940162,67.0
84,10146.533884737979,69.0
85,14068.555838242053,71.0
86,5183.188341955556,59.0
87,8517.410818790599,77.0
88,5303.198212082056,57.0
89,9303.529327717893,63.0
90,7100.979749594011,65.0
91,7026.693782512651,67.0
92,8489.076160175751,54.0
93,5982.606025919094,62.0
94,6386.325253502418,68.0
95,5172.416118663058,70.0
96,2837.8579204920024,64.0
97,6341.3711887009395,60.0
98,8328.874091631593,68.0
99,3565.2293499051516,61.0
